Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,134.5,140.0500030517578,134.35000610351562,138.64999389648438,133.1222686767578,1892178
2021-11-02,138.64999389648438,138.75,135.5,135.5,130.09786987304688,1443536
2021-11-03,135.75,137.25,134.5500030517578,137.25,131.77809143066406,1138059
2021-11-04,137.89999389648438,138.1999969482422,134.8000030517578,134.9499969482422,129.56979370117188,1204571
2021-11-05,134.8000030517578,135.1999969482422,133.5500030517578,133.5500030517578,128.22560119628906,819370
2021-11-08,133.5,133.5,131.25,131.8000030517578,126.54537963867188,977925
2021-11-09,131.89999389648438,134.85000610351562,131.4499969482422,134.1999969482422,128.8496856689453,1070834
2021-11-10,134.3000030517578,134.8000030517578,133.35000610351562,134.3000030517578,128.9457244873047,744109
2021-11-11,134.0,137.60000610351562,133.9499969482422,137.14999389648438,131.6820831298828,1113332
2021-11-12,137.25,139.9499969482422,136.75,139.60000610351562,134.03440856933594,1065849
2021-11-15,139.60000610351562,139.60000610351562,138.0500030517578,139.4499969482422,133.89039611816406,770796
2021-11-16,139.60000610351562,140.60000610351562,138.75,140.0,134.41845703125,853159
2021-11-17,140.0,142.25,139.14999389648438,142.14999389648438,136.48272705078125,1513823
2021-11-18,142.14999389648438,143.8000030517578,141.4499969482422,143.4499969482422,137.7309112548828,1596026
2021-11-19,143.5500030517578,145.75,143.0,145.5500030517578,139.74720764160156,2149262
2021-11-22,145.5500030517578,148.0,145.0,146.6999969482422,140.85133361816406,1757646
2021-11-23,146.0,147.85000610351562,144.8000030517578,146.75,140.89935302734375,1508409
2021-11-24,146.75,149.8000030517578,146.4499969482422,149.14999389648438,143.2036590576172,1545591
2021-11-25,149.5,151.3000030517578,149.25,150.5500030517578,144.54783630371094,1488364
2021-11-26,148.39999389648438,148.6999969482422,146.9499969482422,147.5,141.61944580078125,2386603
2021-11-29,148.60000610351562,151.5500030517578,148.10000610351562,150.6999969482422,144.69187927246094,1748978
2021-11-30,149.25,150.3000030517578,147.25,147.4499969482422,141.57144165039062,3113441
2021-12-01,148.4499969482422,152.14999389648438,148.1999969482422,151.60000610351562,145.5559844970703,1708776
2021-12-02,150.0,152.4499969482422,149.5,152.4499969482422,146.37208557128906,1243220
2021-12-03,153.3000030517578,153.3000030517578,149.60000610351562,149.6999969482422,143.7317352294922,976862
2021-12-06,151.1999969482422,152.64999389648438,150.89999389648438,151.6999969482422,145.65199279785156,961521
2021-12-07,152.60000610351562,154.9499969482422,152.3000030517578,154.14999389648438,148.0043182373047,1344093
2021-12-08,154.14999389648438,155.3000030517578,152.25,153.1999969482422,147.09217834472656,1458853
2021-12-09,154.14999389648438,155.3000030517578,152.25,153.9499969482422,147.8123016357422,2546571
2021-12-10,153.5,155.0,152.6999969482422,154.1999969482422,148.05233764648438,878821
2021-12-13,155.14999389648438,157.89999389648438,154.85000610351562,154.89999389648438,148.72442626953125,1515437
2021-12-14,155.5,155.85000610351562,152.60000610351562,153.10000610351562,146.99618530273438,976332
